Periodo,Categoria,Comuna,Propuesta,Votos,lat,lng,color
2017,Movilidad y transito,Comuna 14,Estacionamien to publico para bicis,301,-34.578,-58.4222,#86A0DB
2017,Movilidad y transito,Comuna 14,Semaforo en godoy cruz y segui,313,-34.5736,-58.4212,#86A0DB
2017,Deportes y calidad de vida,Comuna 14,Campa?a voluntaria,265,-34.577,-58.4212,#9DDBDF
2017,Arte urbano,Comuna 14,Pintar las pa#E06658es de palermo,280,-34.5833,-58.4262,BB45E0
2017,Ferias y Mercados,Comuna 14,Productos organicos,260,-34.5793,-58.4213,#9573D9
2017,Innovacion,Comuna 14,Segui conectados incluso al aire libre,294,-34.5894,-58.4162,#DAB6CB
2018,Cultura,Comuna 14,Actividades de arte para jubilados y mas difusion de dicho tema,339,-34.582,-58.4109,#87E2A8
2018,Seguridad,Comuna 14,Camara de Seguridad en Av Infanta Isabel y Av Iraola,316,-34.572,-58.4138,#E06658
2018,Plazas y parques,Comuna 14,Colocar bebederos en parque tres de Febrero,232,-34.5714,-58.417,#85E45D
2018,Deportes y calidad de vida,Comuna 14,Cancha de Basket Parque Las Heras,178,-34.5847,-58.4087,#9DDBDF
2018,Seguridad,Comuna 14,Seguridad esquina de libertador y olleros,502,-34.5637,-58.4364,#E06658
2018,Seguridad,Comuna 14,Instalacion de camara de Seguridad en interseccion  calles Araoz y Guemes,361,-34.5858,-58.415,#E06658
2018,Movilidad y transito,Comuna 14,mejoramiento del transito zona de paraguay y Darregueyra,310,-34.583,-58.4263,#86A0DB
2018,Plazas y parques,Comuna 14,PLAZA MIGUEL ABUELO,171,-34.5743,-58.4319,#85E45D
2018,Deportes y calidad de vida,Comuna 14,plazas y parques,200,-34.5749,-58.4119,#9DDBDF
2018,Movilidad y transito,Comuna 14,iluminacion barrio de Palermo,467,-34.5857,-58.4252,#86A0DB
2018,Movilidad y transito,Comuna 14,Ve#E06658as,367,-34.569,-58.4362,#86A0DB
